id,score
1,0.36524456648388937
2,0.6804277551725394
3,0.22093712626480988
4,0.2656081784825675
5,0.2656081784825675
6,0.20084906820524004
7,0.6804277551725394
8,0.23940721347387248
9,0.6367030453629684
10,0.7293783182730014
11,0.6761624244260607
12,0.23940721347387248
13,0.22255010522742483
14,0.7643443259726628
15,0.5726699767641269
16,0.22255010522742483
17,0.28537367301659516
18,0.6804277551725394
19,0.36524456648388937
20,0.7643443259726628
21,0.7259049466157961
22,0.7259049466157961
23,0.22255010522742483
24,0.5807021459548645
25,0.3884274100379607
26,0.28226003581650755
27,0.28271735913187446
28,0.7293783182730014
29,0.23940721347387248
30,0.22255010522742483
31,0.6804277551725394
32,0.20486135748416795
33,0.2656081784825675
34,0.726734174165194
35,0.20084906820524004
36,0.25325420923187664
37,0.20084906820524004
38,0.6804277551725394
39,0.3884274100379607
40,0.28271735913187446
41,0.22093712626480988
42,0.6847111856041116
43,0.7259049466157961
44,0.28271735913187446
45,0.28537367301659516
46,0.7293783182730014
47,0.6367030453629684
48,0.22255010522742483
49,0.36524456648388937
50,0.6488708002364385
51,0.7293783182730014
52,0.20486135748416795
53,0.22093712626480988
54,0.20486135748416795
55,0.20084906820524004
56,0.22093712626480988
57,0.7759022822799965
58,0.2875898575296228
59,0.31175042896744715
60,0.7759022822799965
61,0.6847111856041116
62,0.25325420923187664
63,0.20486135748416795
64,0.28271735913187446
65,0.7759022822799965
66,0.726734174165194
67,0.31175042896744715
68,0.22255010522742483
69,0.5807021459548645
70,0.6488708002364385
71,0.6367030453629684
72,0.6804277551725394
73,0.22093712626480988
74,0.6366343086784401
75,0.7643443259726628
76,0.7643443259726628
77,0.45855047904163204
78,0.6644609682898603
79,0.20486135748416795
80,0.28226003581650755
81,0.7643443259726628
82,0.726734174165194
83,0.20084906820524004
84,0.7759022822799965
85,0.2875898575296228
86,0.2875898575296228
87,0.7643443259726628
88,0.20486135748416795
89,0.25325420923187664
90,0.22093712626480988
91,0.20486135748416795
92,0.6847111856041116
93,0.20084906820524004
94,0.7759022822799965
95,0.7259049466157961
96,0.7759022822799965
97,0.2656081784825675
98,0.7293783182730014
99,0.6761624244260607
100,0.6644609682898603
